Copies,Attack,Defence,Faction,Name,Traits,Action,Tags,Designer,CardNumber
1,1,1,Mathematicians,Constant,<strong>On Recruit:</strong> Attacks this turn.<br><strong>End of Turn:</strong> Attacks again.<br><strong>On Death:</strong> Attacks again before dying.,,,Brendan Head,29-5
1,1,3,Mathematicians,Double or Nothing,<strong>On Recruit:</strong> All units with +1/+1 counters on them in this Lane double their +1/+1 counters.,,,Brendan Head,29-6
1,1,0,Mathematicians,Factor of Two,{action:Action}<br> All friendly units attack twice this turn.,Action,,Brendan Head,29-7
1,1,1,Mathematicians,Integrate,This unit has +1 Attack Power for each enemy unit in this Lane.,,,Brendan Head,29-8
1,1,3,Mathematicians,Mean Averaging,"<strong>On Recruit:</strong> Check the difference between your HP and your opponent's HP. If your HP is less, opponent loses half the difference rounded down. If your HP is more, you gain half the difference rounded up.",,,Brendan Head,29-9
1,1,2,Mathematicians,Subtraction,"<strong>On Recruit:</strong> Every enemy unit in this Lane dies. For each enemy unit that dies, lose 1 HP.",,,Brendan Head,29-10
1,2,1,Mathematicians,Boolean,"<strong>End of Turn:</strong> If this did not attack this turn, it Attacks now.",,,Brendan Head,29-11
1,2,2,Mathematicians,Brackets,{attacksFirst:Attacks First.}<br>,,,Brendan Head,29-12
1,2,2,Mathematicians,Counting,"<strong>On Recruit:</strong> Place up to two +1/+1 counters on any enemy units. For each +1/+1 counter you place on an enemy, place two on a friendly unit.",,,Brendan Head,29-13
1,2,1,Mathematicians,Decimal,"While this is alive, all units in this Lane have 50% higher Attack Power. Round the total Attack Power of this Lane down in each Phase.",,,Brendan Head,29-14
1,2,2,Mathematicians,Ratio,"While this is alive, all units in this Lane have their Attack and Defence values swapped.",,,Brendan Head,29-15
1,2,1,Mathematicians,Remainder,"<strong>End of Turn:</strong> If this unit was recruited this turn, put another card in this Lane then draw 1 card.",,,Brendan Head,29-16
1,2,1,Mathematicians,Sum Total,<strong>On Recruit:</strong> Gains a +1/+1 counter for each friendly unit in this Lane.,,,Brendan Head,29-17
1,3,1,Mathematicians,Differentiate,"While this is alive, enemy units in this Lane have -1 Attack Power",,,Brendan Head,29-18
1,3,3,Mathematicians,Triangle,{attacksLast:Attacks Last.}<br>,,,Brendan Head,29-19
1,?,0,Mathematicians,Hypotenuse,{action:Action}<br> Let a = 2 + sum(Attack Power of friendly units in this Lane) and b = 2 + sum(Defence values of friendly units in this Lane). Solve for c using Pythagoras's theorem a^2 + b^2 = c^2. Take the ceiling of that value. That's how much Attack Power this unit has.,Action,,Brendan Head,29-20
6,0,2,Secret Agents,Agent,,,Starting,Brendan Head,30-1
1,0,0,Secret Agents,Deadly Stunt,{action:Action}<br> All enemy units in this Lane take 1 damage. All friendly units in this Lane gain a +1/+1 counter.,Action,,Brendan Head,30-2
2,0,0,Secret Agents,JB,<strong>On Recruit:</strong> Gains a +1/1 counter.<br><strong>End of Turn:</strong> Gains a +1/+1 counter.,,,Brendan Head,30-3
2,0,0,Secret Agents,Q,<strong>On Recruit:</strong> Gains a +1/+1 counter. Take two more +1/+1 counters and put them on other friendly units in any Lanes in any combination. Only friendly units with +1/+1 counters in all Lanes (including this one) attack this turn. ,,,Brendan Head,30-4
2,0,1,Secret Agents,Sportscar with a Gun,<strong>On Recruit:</strong> Gains three +1/+1 counters.,,,Brendan Head,30-5
1,1,7,Secret Agents,Double-O,"You must damage this before other units in this Lane. When you damage this, it gains two damage counters instead of 1 per damage taken.<br><strong>End of Turn:</strong> Remove a damage token to put a +1/+1 counter on another unit in this Lane.",,,Brendan Head,30-6
1,1,4,Secret Agents,M,<strong>On Recruit:</strong> Draw 2 cards. Put 1 in this Lane and discard the other.,,,Brendan Head,30-7
1,1,2,Secret Agents,Resurrection,<strong>End of Turn:</strong> Gain 1 HP,,,Brendan Head,30-8
1,1,3,Secret Agents,Spy Satellite,<strong>On Recruit:</strong> Look at your opponent's hand and the top 2 cards of their deck. Rearrange them into any order. ,,,Brendan Head,30-9
2,1,1,Secret Agents,Watch Laser,{attacksFirst:Attacks First.}<br> Attacks All Lanes.,,,Brendan Head,30-10
1,2,3,Secret Agents,Opening Title,,,,Brendan Head,30-11
2,2,2,Secret Agents,Silenced Pistol,<strong>On Recruit:</strong> Gains a +1+1 counter.,,,Brendan Head,30-12
1,4,1,Secret Agents,Mega Death Laser,{attacksLast:Attacks Last.}<br> ,,,Brendan Head,30-13
1,5,0,Secret Agents,Golden Gun,<strong>On Recruit:</strong> Attacks this turn. No other friendly Lanes attack this turn.,,,Brendan Head,30-14
6,0,1,Tactical Commandos,Recruit,,,Starting,Brendan Head,31-1
1,0,1,Tactical Commandos,Paratrooper,<strong>On Recruit:</strong> This Lane attacks this turn. ,,,Brendan Head,31-2
1,1,0,Tactical Commandos,Attack Order,{action:Action}<br> This Lane attacks this turn,Action,,Brendan Head,31-3
1,1,4,Tactical Commandos,Big Tank,"<strong>Start of Combat:</strong> If this is attacking, it takes 1 damage. ",,,Brendan Head,31-4
2,1,1,Tactical Commandos,Combat Medic,<strong>End of Turn:</strong> Heal 1 damage on any unit or 1 HP.,,,Brendan Head,31-5
2,1,1,Tactical Commandos,Dreadnought,This unit always attacks every turn,,,Brendan Head,31-6
2,1,2,Tactical Commandos,Gadget,,,,Brendan Head,31-7
2,1,2,Tactical Commandos,Sharpshooter,Attacks any Lane except this one. ,,,Brendan Head,31-8
1,2,1,Tactical Commandos,Saboteur Maneavuerer,Can be played into the same Lane as your first unit if you play it second,,,Brendan Head,31-9
2,2,1,Tactical Commandos,Tactician,<strong>On Recruit:</strong> The friendly attacking Lane attacks twice this turn.,,,Brendan Head,31-10
2,3,1,Tactical Commandos,Artillery Cannon,{attacksLast:Attacks Last.}<br> ,,,Brendan Head,31-11
2,3,1,Tactical Commandos,Commando,<strong>End of Turn:</strong> Must discard 1 friendly unit in any Lane. ,,,Brendan Head,31-12
3,0,1,Monks of the Orb,Lightning Orb,<strong>On Death:</strong> Deal 2 damage in this Lane.,,"Orb, Starting",Brendan Head,32-1
3,0,1,Monks of the Orb,Soul Orb,<strong>On Death:</strong> Deal 1 targeted damage to a unit in this Lane.,,"Orb, Starting",Brendan Head,32-2
3,0,1,Monks of the Orb,Water Orb,<strong>On Death:</strong> Gain 1 HP.,,"Orb, Starting",Brendan Head,32-3
2,0,4,Monks of the Orb,Drain Orb,<strong>End of Turn:</strong> You may lose 1 HP to destroy an Orb in any Lane.,,,Brendan Head,32-4
2,0,0,Monks of the Orb,Orbsphere,<strong>On Recruit:</strong> Gains +1/+1 counter equal to your total number of Orbs.<br><strong>End of Turn:</strong> Loses a +1/+1 counter.,,,Brendan Head,32-5
1,0,0,Monks of the Orb,Ultimate Orbstruction,{action:Action}<br> Destroy all Orbs in all Lanes. Then place 1 Orb in any Lane.,Action,,Brendan Head,32-6
2,1,1,Monks of the Orb,Orb Full of Orbs,<strong>On Recruit:</strong> Gain 3 Orbs in this Lane.,,,Brendan Head,32-7
2,1,2,Monks of the Orb,Orbs Within Orbs,Attacks all Lanes that contain Orbs.,,,Brendan Head,32-8
2,1,2,Monks of the Orb,SwOrbd,"For every Orb in this Lane, this gains +1 Attack Power.",,,Brendan Head,32-9
2,2,2,Monks of the Orb,Channel Orbs,<strong>On Recruit:</strong> Gain an Orb in any Lane.<br><strong>End of Turn:</strong> Gain an Orb in any Lane.,,,Brendan Head,32-10
1,2,0,Monks of the Orb,DOrbuble,{action:Action}<br> Attacks this Turn. Double the effect of all Orbs this turn,Action,,Brendan Head,32-11
2,2,2,Monks of the Orb,Orbs With Guns,"{attacksFirst:Attacks First.}<br> Attacks any Lane, but the Lane it attacks in <strong>must</strong> contain an Orb.",,,Brendan Head,32-12
2,3,1,Monks of the Orb,Last Orb to Orbville,{attacksLast:Attacks Last.}<br> <strong>On Recruit:</strong> Destory an Orb in this Lane.,,,Brendan Head,32-13
6,0,2,Timeriders,Paradoxical Self,,,Starting,Sam Evans,33-1
1,0,0,Timeriders,Fast-Forward,{action:Action}<br> This Lane attacks this turn. All units in this Lane also Attack First and Attack Last this turn.,Action,,Sam Evans,33-2
2,0,2,Timeriders,Fated Encounter,<strong>On Death:</strong> Recruit a unit from your discard pile into this Lane.,,,Sam Evans,33-3
2,0,2,Timeriders,Fatesplitter,"<strong>On Recruit:</strong> For every friendly unit, place a Paradoxical Self in a different Lane.",,,Sam Evans,33-4
2,0,2,Timeriders,Overclock,<strong>End of Turn:</strong> Add two +1/+1 counters to a unit in this Lane.,,,Sam Evans,33-5
1,0,0,Timeriders,Rewind,{action:Action}<br> All friendly units killed last turn are returned to the Lanes in which they were killed.,Action,,Sam Evans,33-6
1,1,1,Timeriders,One More Time,"<strong>On Recruit:</strong> Trigger the ""On Recruit"" effects of all friendly units.",,,Sam Evans,33-7
2,1,2,Timeriders,Sands of Time,<strong>End of Turn:</strong> All enemy units with damage counters on them take 1 damage.,,,Sam Evans,33-8
2,1,2,Timeriders,Timeline Seer,<strong>On Recruit:</strong> Search your deck and move one card to the top. Then shuffle the rest of your deck.,,,Sam Evans,33-9
2,2,2,Timeriders,Alternate Self,,,,Sam Evans,33-10
1,3,3,Timeriders,"Timerider, the Original","{attacksFirst:Attacks First.}<br> <strong>End of Turn:</strong> If this in your discard pile, you may discard a Paradoxical Self to play this in that Lane.",,,Sam Evans,33-11
6,0,2,Investors,Share,,,Starting,Sam Evans,34-1
2,0,0,Investors,Bull Market,"{action:Action}<br> For every +1/+1 counter on a unit, add another +1/+1 counter",Action,,Sam Evans,34-2
2,0,2,Investors,Limited Liability,You may discard this nullify all incoming damage in this Lane.,,,Sam Evans,34-3
2,0,4,Investors,Merger,<strong>End of Turn:</strong> Move all +1/+1 counters from a friendly unit onto this,,,Sam Evans,34-4
2,0,2,Investors,Mint Machine,<strong>End of Turn:</strong> Add a +1/+1 counter onto all other friendly units. Then this takes 1 damage.,,,Sam Evans,34-5
2,1,3,Investors,Angel Investor,"Whenever you recruit a unit, add a +1/+1 counter to it",,,Sam Evans,34-6
2,2,2,Investors,Commodifier,<strong>End of Turn:</strong> You may remove a +1/+1 from one unit to recruit a Share in its Lane,,,Sam Evans,34-7
2,2,1,Investors,Entrepreneur,<strong>On Recruit:</strong> Place a Share in this Lane,,,Sam Evans,34-8
2,2,2,Investors,Investor,<strong>End of Turn:</strong> Add a +1/+1 counter onto any Share,,,Sam Evans,34-9
6,0,2,Transporters,Stationary Object,,,Starting,Brendan Head,35-1
1,0,1,Transporters,Boat,"<strong>End of Turn:</strong> Place a +1/+1 counter on this. If there are now three +1/+1 counters on this, remove all of them and deal 3 targeted damage to enemy units or HP in any Lanes.",,,Brendan Head,35-2
1,0,5,Transporters,Bus,<strong>On Recruit:</strong> Place a Stationary Object with a damage token on it in both other Lanes.,,,Brendan Head,35-3
1,0,0,Transporters,Crash,"{action:Action}<br> Opponent loses 2 HP. Destroy all units (friendly and enemy) in all Lanes, except the unit your opponent played this turn.",Action,,Brendan Head,35-4
1,0,1,Transporters,Helicopter,"<strong>On Recruit:</strong> Gains three +1/+1 counters. After this attacks, move a +1/+1 counter from this to a different unit in any Lane.",,,Brendan Head,35-5
1,0,0,Transporters,Monorail,{action:Action}<br> Choose a unit in this Lane. That unit attacks this turn directly into enemy HP (bypassing units),Action,,Brendan Head,35-6
1,1,4,Transporters,Car,<strong>End of Turn:</strong> May remove a damage counter from this unit to add a +1/+1 counter to it.,,,Brendan Head,35-7
1,1,3,Transporters,Motorbike,<strong>End of Turn:</strong> All enemy units in this Lane with a damage counter on them take 1 damage.,,,Brendan Head,35-8
1,1,1,Transporters,Station,"<strong>On Recruit:</strong> All other friendly units in this Lane gain a +1/+1 counter. While this is alive, all other friendly units in this Lane gain 1 Attack Power.",,,Brendan Head,35-9
1,1,1,Transporters,Traffic Light,This gains 1 Attack Power for every enemy unit in this Lane.,,,Brendan Head,35-10
1,1,2,Transporters,Walking Here,<strong>On Recruit:</strong> May move any friendly unit into a different Lane.,,,Brendan Head,35-11
1,1,2,Transporters,Walking There,<strong>On Recruit:</strong> May move any enemy unit into a different Lane.,,,Brendan Head,35-12
1,2,2,Transporters,Horse,"<strong>On Recruit:</strong> Attacks this turn and {attacksFirst:Attacks First.}<br> On all subsequent turns, {attacksLast:Attacks Last.}<br>",,,Brendan Head,35-13
1,2,2,Transporters,Scooter,Attacks any Lane except this Lane. Then move this to the Lane it attacked.,,,Brendan Head,35-14
1,2,4,Transporters,Submarine,"<strong>Start of Turn:</strong> May flip this card.<br><strong>End of Turn:</strong> May flip this card.<br>When this unit is flipped to face down, remove all counters on it and it cannot attack.",,,Brendan Head,35-15
1,3,2,Transporters,Train,"{attacksLast:Attacks Last.}<br> Attacks any Lane, then takes 1 damage.",,,Brendan Head,35-16
1,4,2,Transporters,Plane,This unit only attacks if there are no friendly units in this Lane.,,,Brendan Head,35-17
6,0,2,The Slicing Deckmasters,Stack,,,Starting,Brendan Head,36-1
1,0,2,The Slicing Deckmasters,Bleed,<strong>On Recruit:</strong> Deal 3 targeted damage spread how you choose among enemy units in this Lane.,,,Brendan Head,36-2
1,0,4,The Slicing Deckmasters,Healing Shield,<strong>End of Turn:</strong> Gain 1 HP.,,,Brendan Head,36-3
1,0,0,The Slicing Deckmasters,Super Shiv,{action:Action}<br> Gain 1 Shiv into your hand and three +1/+1 counters. You may distribute the counters among friendly units (including Shivs played this turn) in any combination. ,Action,,Brendan Head,36-4
1,1,3,The Slicing Deckmasters,Forge,<strong>End of Turn:</strong> Gain 1 Shiv into your hand.,,,Brendan Head,36-5
1,1,2,The Slicing Deckmasters,Gambler's Grotto,<strong>On Recruit:</strong> Play all other cards in your hand. No friendly units attacks this turn. Enemy units attack twice. ,,,Brendan Head,36-6
1,1,2,The Slicing Deckmasters,Sharpen,<strong>On Recruit:</strong> Gain 2 Shivs into your hand.,,,Brendan Head,36-7
6,1,0,The Slicing Deckmasters,Shiv,"<strong>On Recruit:</strong> Attacks this turn. After playing a card, you may play any number of Shivs on the same turn into any Lanes.",,"Shiv, Starting",Brendan Head,36-8
1,1,1,The Slicing Deckmasters,Stab Yourself,<strong>On Recruit:</strong> Lose 2 HP. Gain 4 Shivs into your hand.,,,Brendan Head,36-9
1,2,1,The Slicing Deckmasters,Big Sword,{attacksFirst:Attacks First.}<br>,,,Brendan Head,36-10
1,2,1,The Slicing Deckmasters,Charged Up,{attacksLast:Attacks Last.}<br> <strong>On Recruit:</strong> Gains three +1/+1 counters.<br><br><strong>End of Turn:</strong> Lose a +1/+1 counter.,,,Brendan Head,36-11
1,2,2,The Slicing Deckmasters,Cross Lane,{attacksLast:Attacks Last.}<br> Attacks all Lanes except its own.,,,Brendan Head,36-12
1,2,2,The Slicing Deckmasters,Darren's Deck,<strong>On Recruit:</strong> Draw 1 card. You may discard this unit to play the newly drawn card instead this turn into this Lane.,,,Brendan Head,36-13
1,2,0,The Slicing Deckmasters,Psuedo,{action:Action}<br> This Lane attacks this turn. All units in this Lane attack HP directly this turn.,Action,,Brendan Head,36-14
1,2,1,The Slicing Deckmasters,Recursion,"<strong>On Recruit:</strong> Gain 1 Shiv into your hand.<br><br><strong>End of Turn:</strong> If you played 2 or more Shivs this turn, gain 1 Shiv into your hand. ",,,Brendan Head,36-15
1,2,2,The Slicing Deckmasters,Scry Screw,"<strong>On Recruit:</strong> Secretly look at the top 3 cards of your deck, you may discard any number of them. You may not rearrange the order.",,,Brendan Head,36-16
1,2,2,The Slicing Deckmasters,Shuffle,"<strong>On Recruit:</strong> Shuffle your discard pile, then draw the top card.",,,Brendan Head,36-17
1,2,2,The Slicing Deckmasters,Swap Swapper,<strong>On Recruit:</strong> You may swap your discard pile and your deck.<br><br><strong>On Death:</strong> You may swap your discard pile and your deck.,,,Brendan Head,36-18
3,0,2,Cursed Healers,Vampiric Medic,,,Starting,Brendan Head,37-1
2,1,3,Cursed Healers,Collective Loss,<strong>On Recruit:</strong> Both players lose 1 HP.,,,Brendan Head,37-2
2,1,4,Cursed Healers,Divine Punishment,"{attacksFirst:Attacks First.}<br> If this would attack units, it attacks HP instead. If this would attack HP, it does nothing.",,,Brendan Head,37-3
2,1,4,Cursed Healers,Ritualise,<strong>On Recruit:</strong> Opponent gains 3 HP.<br><br><strong>End of Turn:</strong> Opponent loses 1 HP.,,,Brendan Head,37-4
2,1,2,Cursed Healers,Sharing is Caring,<strong>On Recruit:</strong> Opponents gains a +1/+1 counter on a unit of their choice in any Lane. You gain a +1/+1 counter on any unit in any Lane.,,,Brendan Head,37-5
2,2,2,Cursed Healers,Delayed Life Transfer,<strong>On Recruit:</strong> Lose 1 HP.<br><br><strong>On Death:</strong> Opponent loses 1 HP.,,,Brendan Head,37-6
2,2,2,Cursed Healers,Paralyse,<strong>On Recruit:</strong> Attacks this turn. Stops this enemy Lane from attacking this turn.,,,Brendan Head,37-7
2,2,3,Cursed Healers,Plus,<strong>End of Turn:</strong> Gain 1 HP.,,,Brendan Head,37-8
2,3,2,Cursed Healers,Summoner,<strong>End of Turn:</strong> Opponent puts a basic starting unit in this Lane.,,,Brendan Head,37-9
6,0,2,Imperial Navy,Stormtrooper,,,Starting,Brendan Head,38-1
2,0,2,Imperial Navy,Tie Interceptor,<strong>On Recruit:</strong> Must move into a different Lane.<br><br><strong>End of Turn:</strong> Gain a +1/+1 token then must move this to a different Lane.,,,Brendan Head,38-2
2,1,2,Imperial Navy,Probe Droid,Must damage this before other units in this Lane. This Lane always attacks while this is alive.,,,Brendan Head,38-3
2,1,2,Imperial Navy,Tie Bomber,"Attacks all Lanes. If this is damaged, it attacks only this Lane instead.<br><strong>On Recruit:</strong> Place a Stormtrooper in this Lane.",,,Brendan Head,38-4
1,2,3,Imperial Navy,AT-AT,"<strong>On Recruit:</strong> Place 1 Stormtrooper in this Lane. <strong>End of Turn:</strong> Place 1 Stormtrooper in this Lane. If this has any damage tokens on it, lose 1 HP.",,,Brendan Head,38-5
2,2,2,Imperial Navy,Tie Fighter,<strong>On Recruit:</strong> Attacks this turn.,,,Brendan Head,38-6
2,2,2,Imperial Navy,Turrets,"If there are other units in this Lane, it can only attack into a different Lane than this. Otherwise, attacks in this Lane.",,,Brendan Head,38-7
2,3,1,Imperial Navy,Hyperspace Fleet,<strong>On Recruit:</strong> Place this into a 4th Lane that only you can use for this turn. All your Lanes attack this turn.<br><strong>End of Turn:</strong> The 4th Lane stops existing. Place this into any Lane.,,,Brendan Head,38-8
2,4,1,Imperial Navy,Star Destroyer,{attacksLast:Attacks Last.}<br>,,,Brendan Head,38-9
2,4,2,Imperial Navy,Force Choke,"<strong>On Recruit:</strong> Opponent gains 2 HP. When this attacks, opponent can choose to take any damage from it in their HP instead of on their units.",,,Brendan Head,38-10
1,10,10,Imperial Navy,Death Star,"This cannot attack normally. When this dies, it attacks before being placed on the discard pile.<br><strong>On Recruit:</strong> Place 1 damage token on this. <strong>End of Turn:</strong> Place 2 damage tokens on this.",,,Brendan Head,38-11
6,0,2,Death Cultists,Alive Corpse,,,Starting,Brendan Head,39-1
1,1,2,Death Cultists,Circles of Death,"<strong>On Death:</strong> This does not die. Remove all damage tokens from this and rotate this 90 degrees right. If this is now facing left, put it in your discard pile.",,,Brendan Head,39-2
1,1,2,Death Cultists,Death Dice,"<strong>On Recruit:</strong> Look at the top 3 cards of your deck. Discard any number, then rearrange the rest into any order.<br><br><strong>On Death:</strong> Look at the top 3 cards of your deck. Discard any number, then rearrange the rest into any order.",,,Brendan Head,39-3
1,1,2,Death Cultists,Ouruboros,"<strong>On Recruit:</strong> Play another card this turn, but it must be into the Lane your opponent played into.<br><br><strong>On Death:</strong> Lose 2 HP and this returns to your hand.",,,Brendan Head,39-4
1,1,2,Death Cultists,Purgatory,"<strong>On Recruit:</strong> Any friendly that would die this turn heal 1 damage, but their On Death effects still trigger.",,,Brendan Head,39-5
1,1,0,Death Cultists,Rallying Skeleton Cry,"{action:Action}<br> This Lane attacks this turn. Trigger the ""On Death"" ability of all friendly units in play.",,,Brendan Head,39-6
1,1,1,Death Cultists,Rejuvenating Bone Juice,<strong>On Death:</strong> Gain 1 HP for each card in your discard pile.,,,Brendan Head,39-7
1,1,6,Death Cultists,Shield of Flesh,<strong>End of Turn:</strong> Takes 1 damage.,,,Brendan Head,39-8
1,1,3,Death Cultists,Vampiric Mite,<strong>On Death:</strong> Opponent loses 1 HP.,,,Brendan Head,39-9
1,2,1,Death Cultists,Bone Archer,{attacksLast:Attacks Last.}<br> Attacks both other Lanes.,,,Brendan Head,39-10
1,2,2,Death Cultists,Bone Wall,<strong>On Recruit:</strong> Moves to the Lane your opponent played a card into and Attacks this turn. ,,,Brendan Head,39-11
1,2,1,Death Cultists,Death Scythe,"<strong>On Recruit:</strong> Attacks First and Attacks this turn.<br><br><strong>On Death:</strong> Do not discard. Next turn, it Attacks First, then is discarded.",,,Brendan Head,39-12
1,2,2,Death Cultists,Demonic Avengers,<strong>On Death:</strong> Play the top card of your draw pile to this Lane.,,,Brendan Head,39-13
1,2,1,Death Cultists,Hell Slash,{attacksLast:Attacks Last.}<br> <strong>On Death:</strong> Attacks both other Lanes.,,,Brendan Head,39-14
1,2,1,Death Cultists,Resurrection Stone,<strong>On Death:</strong> Put a card from your discard pile into your hand (can be this one),,,Brendan Head,39-15
1,2,0,Death Cultists,Self-Death,"<strong>On Recruit:</strong> Attacks this turn, then dies.<br><br><strong>On Death:</strong> Lose 1 HP<br>If this is in your discard pile, next turn it plays into the same Lane your opponent played.",,,Brendan Head,39-16
1,5,5,Death Cultists,Cthulu,Can only be played by sacrificing 2 friendly units in play.,,,Brendan Head,39-17
6,0,0,Free Men of the Desert,Desert Warrior,<strong>On Recruit:</strong> Gains a +1/+1 counter.,,Starting,Brendan Head,40-1
1,0,0,Free Men of the Desert,Backstab,<strong>On Recruit:</strong> Gains two +1/+1 counters. Place a +1/+1 counter on an enemy unit in this Lane.<br><br><strong>End of Turn:</strong> All enemy units with +1/+1 counters on them remove 1.,,,Brendan Head,40-2
1,0,2,Free Men of the Desert,Bleeding Kinfe,<strong>On Recruit:</strong> Gains a +1/+1 counter and opponent loses 1 HP.<br><br><strong>End of Turn:</strong> Opponent loses 1 HP.,,,Brendan Head,40-3
1,0,1,Free Men of the Desert,Family Atomics,<strong>On Death:</strong> Deal 2 targeted damage in any Lane.,,,Brendan Head,40-4
1,0,4,Free Men of the Desert,Power of Will,"If a damage token would be placed on a unit that would kill it, you may place it on this instead.<br><br><strong>End of Turn:</strong> Heals 1 damage on itself.",,,Brendan Head,40-5
1,0,3,Free Men of the Desert,Sand Ambush,This card has Attack Power equal to number of friendly units attacking this turn.,,,Brendan Head,40-6
1,0,1,Free Men of the Desert,Temporary Agression,<strong>On Recruit:</strong> Gains three +1/+1 counters and Attacks this turn.<br><br><strong>End of Turn:</strong> Remove a +1/+1 counter. ,,,Brendan Head,40-7
1,1,1,Free Men of the Desert,Imperial Dreadnought,<strong>On Recruit:</strong> Gains two +1/+1 counters.<br><br><strong>On Death:</strong> Remove 1 damage token from this and do not kill this unit.,,,Brendan Head,40-8
1,1,3,Free Men of the Desert,Foldspace,"<strong>On Recruit:</strong> May move a different friendly unit from any Lane to any other Lane. If you do, it gains two +1/+1 counters.",,,Brendan Head,40-9
1,1,0,Free Men of the Desert,Giant Worms,{action:Action}<br> Attacks this turn. All friendly units (including this) gain +1 Attack Power this turn.,Action,,Brendan Head,40-10
1,1,6,Free Men of the Desert,Recycling Water,<strong>End of Turn:</strong> May kill this.<br><br><strong>On Death:</strong> Gain 4 HP. ,,,Brendan Head,40-11
1,1,1,Free Men of the Desert,Shifting Allegiances,"<strong>On Recruit:</strong> Discard a card, then place the top card of your opponents' deck into your hand.",,,Brendan Head,40-12
1,1,3,Free Men of the Desert,Spice Addiction,<strong>On Recruit:</strong> Attacks this turn.<br><br><strong>End of Turn:</strong> Gain 1 HP.,,,Brendan Head,40-13
1,1,3,Free Men of the Desert,Water Purifier,<strong>End of Turn:</strong> Choose a Lane. All friendly units in that Lane heal 1 damage.,,,Brendan Head,40-14
1,2,1,Free Men of the Desert,Guild Navigator,<strong>End of Turn:</strong> May move a unit (friendly or enemy) to any Lane.,,,Brendan Head,40-15
1,3,1,Free Men of the Desert,Ornithopter,Attacks opponent HP directly.,,,Brendan Head,40-16
1,3,1,Free Men of the Desert,Prophets of Battle,May choose to reduce this unit's Attack Power by 2 to Attack all Lanes instead of just this Lane.,,,Brendan Head,40-17
3,0,0,Volcano Kings,Five,<strong>On Recruit:</strong> Dies.,,,Brendan Head,41-1
3,0,0,Volcano Kings,Four,<strong>On Recruit:</strong> Dies.,,,Brendan Head,41-2
3,0,0,Volcano Kings,One,<strong>On Recruit:</strong> Dies.,,,Brendan Head,41-3
3,0,0,Volcano Kings,Six,"<strong>On Recruit:</strong> Win the Battle.<br>If your opponent also played a Six, keep playing. ",,,Brendan Head,41-4
3,0,0,Volcano Kings,Three,<strong>On Recruit:</strong> Dies.,,,Brendan Head,41-5
3,0,0,Volcano Kings,Two,<strong>On Recruit:</strong> Dies.,,,Brendan Head,41-6
2,0,1,Cycliods,Alpha Bot,<strong>On Recruit:</strong> Gains a +1/+1 counter.,,Starting,Brendan Head,42-1
1,0,1,Cycliods,Beta Bot,,,Starting,Brendan Head,42-2
1,0,0,Cycliods,Buff Bot,<strong>On Recruit:</strong> Gain three +1/+1 counters.,,,Brendan Head,42-3
1,0,1,Cycliods,Cannon Bot,<strong>On Recruit:</strong> Gain two +1/+1 counters.<br><br><strong>After Attacking:</strong> Remove a +1/+1 counter,,,Brendan Head,42-4
1,0,1,Cycliods,Friendly Bot,This gains Attack Power equal to number of +1/+1 counters on friendly units in this Lane.,,,Brendan Head,42-5
1,0,1,Cycliods,Healing Bot,<strong>On Recruit:</strong> Gain 1 HP for each +1/+1 counter in this Lane.,,,Brendan Head,42-6
1,0,2,Cycliods,Laser Bot,This has +2 Attack Power if it has a +1/+1 counter on it.,,,Brendan Head,42-7
1,0,2,Cycliods,Sniper Bot,"<strong>Start of Turn:</strong> If this has a +1/+1 counter on it, deal 1 damage to this Lane.",,,Brendan Head,42-8
1,0,0,Cycliods,Speed Bot,{attacksFirst:Attacks First.}<br> <strong>On Recruit:</strong> Gains two +1/+1 counters and attacks this turn.,,,Brendan Head,42-9
1,0,0,Cycliods,Support Bot,{action:Action}<br> Put two +1/+1 counters on friendly units in this Lane. This Lane attacks this turn.,Action,,Brendan Head,42-10
1,1,1,Cycliods,Conditional Bot,Attacks only while it has a +1/+1 counter on it.,,,Brendan Head,42-11
1,1,1,Cycliods,Counter Bot,<strong>Start of Turn:</strong> Gains a +1/+1 counter,,,Brendan Head,42-12
1,1,1,Cycliods,Doctor Bot,"<strong>Start of Turn:</strong> If this has a +1/+1 counter on it, gain 1 HP.",,,Brendan Head,42-13
1,1,2,Cycliods,Doubler Bot,"<strong>Start of Turn:</strong> Gains a +1/+1 counter.<br><br><strong>End of Turn:</strong> Before doing your passive, this loses a +1/+1 counter.",,,Brendan Head,42-14
1,1,3,Cycliods,Malfunctioning Bot,<strong>End of Turn:</strong> Takes 1 damage,,,Brendan Head,42-15
1,1,1,Cycliods,Reshuffler Bot,<strong>On Recruit:</strong> May move up to two +1/+1 counters from other friendly units to this.,,,Brendan Head,42-16
1,3,2,Cycliods,Flipper Bot,<strong>On Recruit:</strong> Attacks this turn. This does not attack if it has any +1/+1 counters on it.,,,Brendan Head,42-17
1,3,1,Cycliods,Thief Bot,{attacksLast:Attacks Last.}<br> <strong>On Recruit:</strong> Remove a +1/+1 counter from any friendly unit.,,,Brendan Head,42-18
6,0,2,The Blood Leachers,Blood Barricade,,,Starting,Brendan Head,43-1
2,0,3,The Blood Leachers,Boiling Blood,"Attacks based on the number of tokens in your supply. (1-5 0 Attack Power, 6-10 1 Attack Power, 11-15 3 Attack Power)",,,Brendan Head,43-2
